title,year,activity,agent,label,work_uuid,agent_uuid
27A,1973,hasActor,Bob Maza,27A (1973),f3dd3217-fd0a-4f17-afa1-901f2afc51f7,b1d37ec7-6196-4e7c-b599-a16565c84ad3
27A,1973,hasActor,Zac Martin,27A (1973),f3dd3217-fd0a-4f17-afa1-901f2afc51f7,213318e3-8f34-4e6a-8c91-a51ade48f4ba
27A,1973,hasActor,Kevin Healey,27A (1973),f3dd3217-fd0a-4f17-afa1-901f2afc51f7,91251840-d0d6-4035-b2b5-8265948d1170
27A,1973,hasActor,Beth Brookes,27A (1973),f3dd3217-fd0a-4f17-afa1-901f2afc51f7,7fa43a24-ee8e-42bd-b104-cd1065f9b3fe
27A,1973,hasActor,Betty Dyson,27A (1973),f3dd3217-fd0a-4f17-afa1-901f2afc51f7,c8fe47f9-cb6e-495e-b724-d496b3ff357a
27A,1973,hasActor,Pauline Foxall,27A (1973),f3dd3217-fd0a-4f17-afa1-901f2afc51f7,a8ca7859-f175-4cad-9769-d6fa7a37cfd1
27A,1973,hasActor,Robert Ewing,27A (1973),f3dd3217-fd0a-4f17-afa1-901f2afc51f7,f5490f1b-86f0-4774-9037-278c247ee1db
27A,1973,hasActor,Max Osbiston,27A (1973),f3dd3217-fd0a-4f17-afa1-901f2afc51f7,b5875949-aa4a-4fc6-97ae-02f336c794c0
27A,1973,hasActor,Guy LeClaire,27A (1973),f3dd3217-fd0a-4f17-afa1-901f2afc51f7,59b5cca3-ac9f-4b7f-86dc-898a1c9225e8
27A,1973,hasDirector,Esben Storm,27A (1973),f3dd3217-fd0a-4f17-afa1-901f2afc51f7,e758b533-cb55-455c-8ee8-509bce15132d
27A,1973,hasProducer,Haydn Keenan,27A (1973),f3dd3217-fd0a-4f17-afa1-901f2afc51f7,de5f9b2b-8f5b-485e-99f3-dd7039ffc461
3 To Go,1970,hasActor,Judy Morris,3 To Go (1970),a709f1b9-072d-45b7-84dc-1a855bec8130,defca653-8d2d-42d4-b244-c6e58b1d0adb
3 To Go,1970,hasActor,Serge Lazareff,3 To Go (1970),a709f1b9-072d-45b7-84dc-1a855bec8130,8d267fb4-2169-4e44-8044-301b916cef85
3 To Go,1970,hasActor,Mary Ann Severne,3 To Go (1970),a709f1b9-072d-45b7-84dc-1a855bec8130,e52b5ab2-b673-40eb-aaf4-e9a97d94daa9
3 To Go,1970,hasActor,Gary Day,3 To Go (1970),a709f1b9-072d-45b7-84dc-1a855bec8130,e08e2c09-bdae-4f23-af88-4f5cd4ed4fe3
3 To Go,1970,hasActor,Penny Ramsey,3 To Go (1970),a709f1b9-072d-45b7-84dc-1a855bec8130,83f2b130-6360-41c4-8ba4-19c98506a488
3 To Go,1970,hasActor,Wendy Playfair,3 To Go (1970),a709f1b9-072d-45b7-84dc-1a855bec8130,4d92f6dc-21ba-4b26-8556-1afa73b69bd0
3 To Go,1970,hasActor,Brian Anderson,3 To Go (1970),a709f1b9-072d-45b7-84dc-1a855bec8130,2ce4dc02-7787-4c30-a481-d6fea9666c23
3 To Go,1970,hasActor,Cliff Neate,3 To Go (1970),a709f1b9-072d-45b7-84dc-1a855bec8130,3ddbee33-b7f4-4a23-8120-9ceeb734f04e
3 To Go,1970,hasActor,Matthew Burton,3 To Go (1970),a709f1b9-072d-45b7-84dc-1a855bec8130,583e3019-69f8-4752-868b-c8bf2ce9804d
3 To Go,1970,hasActor,Grahame Bond,3 To Go (1970),a709f1b9-072d-45b7-84dc-1a855bec8130,6e1108f7-7c0b-4744-962b-fa68764ba9d7
